               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084214,            0.028688,            0.033076,             0.70413,             0.23826,              0.2033,            0.076084,            0.058119,            0.015601,            0.015703,           0.0033242,           0.0033242,            0.070083
                   1,            0.062805,            0.024446,            0.011112,             0.73135,             0.25599,              0.2546,              0.1071,             0.05483,            0.014038,            0.010351,           0.0066571,           0.0066571,            0.040082
                   2,            0.058432,             0.02413,           0.0095545,             0.65045,             0.26405,             0.24082,             0.10082,            0.053587,            0.015549,           0.0099696,           0.0099886,           0.0099886,             0.01008
                   3,            0.055038,            0.024023,           0.0082503,              0.6617,             0.28514,             0.29776,             0.13977,            0.048894,            0.014827,           0.0095667,            0.009995,            0.009995,            0.009995
                   4,            0.051611,            0.023718,           0.0070958,             0.68692,             0.27874,             0.32104,             0.15122,            0.047888,            0.014813,           0.0081013,            0.009995,            0.009995,            0.009995
                   5,            0.049494,            0.023201,           0.0060489,             0.74955,             0.36363,             0.42846,             0.19478,            0.045962,            0.013472,           0.0069249,           0.0099911,           0.0099911,           0.0099911
                   6,            0.048372,            0.022676,           0.0053706,             0.74446,             0.32686,             0.37561,             0.18212,            0.049511,            0.014806,            0.010281,           0.0099861,           0.0099861,           0.0099861
                   7,             0.04765,            0.022945,           0.0053973,             0.64439,               0.378,             0.43299,             0.21727,             0.04487,             0.01342,           0.0063956,             0.00998,             0.00998,             0.00998
                   8,            0.046959,            0.022314,           0.0048902,             0.55842,             0.42371,              0.4438,             0.22347,            0.044215,            0.013046,           0.0063013,           0.0099728,           0.0099728,           0.0099728
                   9,            0.046054,            0.021805,           0.0046798,             0.66414,             0.48002,             0.51556,             0.27452,            0.043005,            0.012298,            0.005537,           0.0099645,           0.0099645,           0.0099645
                  10,            0.045214,            0.021821,           0.0040521,              0.6659,             0.41263,             0.47208,             0.25238,            0.042485,            0.012565,           0.0052843,           0.0099551,           0.0099551,           0.0099551
                  11,            0.044783,            0.021666,           0.0041851,             0.69699,              0.4722,             0.51119,             0.26202,            0.042974,            0.012573,           0.0058807,           0.0099446,           0.0099446,           0.0099446
                  12,            0.044459,            0.021724,           0.0040024,              0.6804,             0.44755,             0.50413,             0.26156,            0.041727,            0.012476,           0.0057921,            0.009933,            0.009933,            0.009933
                  13,            0.043885,            0.021215,           0.0036004,             0.72582,              0.4858,             0.55162,              0.2996,            0.039919,            0.012053,           0.0043981,           0.0099203,           0.0099203,           0.0099203
                  14,            0.043934,            0.021532,           0.0035476,             0.63354,             0.45744,             0.53098,             0.28278,            0.041554,            0.011908,           0.0047298,           0.0099065,           0.0099065,           0.0099065
                  15,            0.043274,            0.020502,           0.0033842,             0.62683,             0.52554,             0.55418,             0.28511,            0.040011,            0.011949,           0.0041955,           0.0098916,           0.0098916,           0.0098916
                  16,            0.043021,            0.020718,           0.0034937,             0.66347,             0.49174,             0.54116,             0.29726,             0.04016,            0.011917,           0.0046962,           0.0098757,           0.0098757,           0.0098757
                  17,             0.04309,            0.020808,           0.0034533,             0.73238,             0.47432,             0.56156,             0.29742,            0.041554,            0.012241,           0.0048605,           0.0098586,           0.0098586,           0.0098586
                  18,            0.042431,            0.020632,            0.003386,              0.7261,             0.54849,              0.5913,             0.32998,            0.039774,            0.011459,           0.0037117,           0.0098405,           0.0098405,           0.0098405
                  19,              0.0425,            0.020357,           0.0031333,             0.82654,             0.46185,             0.57864,              0.3151,            0.040457,            0.011713,           0.0046402,           0.0098213,           0.0098213,           0.0098213
                  20,            0.041858,            0.020831,           0.0030151,             0.72006,             0.48111,             0.56707,             0.31796,            0.040307,            0.012003,            0.004704,           0.0098011,           0.0098011,           0.0098011
                  21,            0.042213,            0.020529,           0.0032699,             0.64086,             0.53102,             0.54342,             0.29953,            0.039948,            0.011749,           0.0052194,           0.0097798,           0.0097798,           0.0097798
                  22,            0.041652,            0.020251,           0.0030375,             0.74016,             0.52959,              0.6016,              0.3302,            0.038678,            0.011202,           0.0043239,           0.0097574,           0.0097574,           0.0097574
                  23,            0.040922,            0.020306,           0.0028117,             0.74761,             0.48942,             0.59078,             0.33651,            0.038409,            0.011235,           0.0038605,            0.009734,            0.009734,            0.009734
                  24,            0.040804,            0.019741,           0.0026547,             0.69371,             0.53394,             0.59618,             0.34537,            0.039384,            0.011259,            0.003549,           0.0097095,           0.0097095,           0.0097095
                  25,            0.040861,            0.019984,           0.0026861,             0.73527,             0.51526,                0.61,             0.35543,             0.03793,             0.01124,           0.0040885,            0.009684,            0.009684,            0.009684
                  26,            0.040445,            0.019833,           0.0028457,             0.73903,             0.54275,             0.65009,             0.37084,            0.037514,            0.010939,           0.0034422,           0.0096575,           0.0096575,           0.0096575
                  27,            0.040195,            0.019656,           0.0027367,              0.7378,             0.54558,             0.64052,             0.37748,             0.03767,            0.010994,           0.0037715,           0.0096299,           0.0096299,           0.0096299
                  28,             0.04051,            0.019796,           0.0027113,             0.69302,             0.55235,             0.63987,             0.37402,            0.038321,            0.011062,           0.0037281,           0.0096013,           0.0096013,           0.0096013
                  29,            0.040223,            0.019712,           0.0026374,             0.72571,             0.54011,             0.64882,             0.37303,             0.03801,             0.01107,           0.0032303,           0.0095717,           0.0095717,           0.0095717
                  30,            0.040224,            0.019864,           0.0024239,             0.77045,             0.48593,             0.64386,              0.3549,            0.038856,            0.011331,           0.0033004,           0.0095411,           0.0095411,           0.0095411
                  31,             0.03935,            0.019707,           0.0025574,             0.73943,             0.53973,             0.69721,             0.41338,            0.036386,             0.01081,           0.0034656,           0.0095095,           0.0095095,           0.0095095
                  32,            0.039666,            0.019676,           0.0024576,             0.69698,             0.51139,             0.65474,             0.40376,            0.036779,            0.010845,           0.0034575,           0.0094769,           0.0094769,           0.0094769
                  33,            0.039702,            0.019319,           0.0024418,             0.74597,             0.55851,             0.67876,             0.39542,            0.037215,            0.010787,           0.0036685,           0.0094434,           0.0094434,           0.0094434
                  34,            0.039502,            0.019512,           0.0026065,             0.76587,             0.53738,             0.65798,             0.38876,            0.036742,            0.010722,           0.0034872,           0.0094088,           0.0094088,           0.0094088
                  35,            0.039651,            0.019111,           0.0026518,             0.71731,             0.55749,                0.67,             0.39265,            0.036527,              0.0108,           0.0034332,           0.0093733,           0.0093733,           0.0093733
                  36,            0.038956,            0.019512,           0.0025194,             0.46837,             0.74497,             0.66946,             0.41107,            0.037312,            0.010746,           0.0033622,           0.0093369,           0.0093369,           0.0093369
                  37,            0.038846,            0.019267,           0.0023011,             0.50213,             0.72665,             0.67034,             0.38084,            0.036144,            0.010528,           0.0033728,           0.0092995,           0.0092995,           0.0092995
                  38,            0.038893,            0.018974,           0.0021847,             0.51386,             0.72751,             0.71295,             0.42184,            0.036807,            0.010874,           0.0031051,           0.0092611,           0.0092611,           0.0092611
                  39,            0.038716,            0.019213,           0.0023743,             0.70387,             0.53942,             0.66895,              0.3943,            0.038507,            0.011506,           0.0045726,           0.0092219,           0.0092219,           0.0092219
                  40,            0.038408,            0.018862,           0.0023566,             0.51607,             0.75107,             0.69181,             0.41018,            0.036468,            0.010709,           0.0035054,           0.0091817,           0.0091817,           0.0091817
                  41,            0.038469,            0.019358,           0.0023135,             0.54702,             0.71431,             0.68523,             0.40106,            0.035587,            0.010648,            0.003242,           0.0091406,           0.0091406,           0.0091406
                  42,            0.038489,            0.019062,           0.0022894,             0.54528,             0.69889,             0.67893,             0.40444,             0.03643,            0.010713,           0.0030593,           0.0090986,           0.0090986,           0.0090986
                  43,            0.038087,            0.018965,            0.002277,             0.61478,             0.71294,             0.70761,             0.43279,            0.035099,            0.010528,           0.0031536,           0.0090557,           0.0090557,           0.0090557
                  44,            0.038261,            0.019176,           0.0022778,             0.56186,             0.72123,             0.71046,             0.43347,              0.0355,            0.010396,           0.0031852,           0.0090119,           0.0090119,           0.0090119
                  45,            0.038046,            0.018491,           0.0021627,             0.59012,             0.74298,              0.7046,             0.42376,            0.035291,            0.010465,           0.0030584,           0.0089673,           0.0089673,           0.0089673
                  46,            0.038033,            0.018648,           0.0023485,             0.53374,             0.74379,             0.68759,             0.41177,            0.035597,            0.010529,           0.0030792,           0.0089218,           0.0089218,           0.0089218
                  47,            0.037513,            0.018889,           0.0023249,             0.60306,             0.72415,              0.7197,              0.4299,            0.035328,            0.010429,           0.0028061,           0.0088755,           0.0088755,           0.0088755
