               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09742,            0.022675,            0.042006,            0.013714,            0.035002,           0.0090195,           0.0018329,            0.087471,            0.014912,            0.032374,           0.0033242,           0.0033242,            0.070083
                   1,            0.079798,             0.02512,             0.02655,             0.62219,             0.17055,            0.090561,             0.02227,            0.070831,            0.014998,             0.01903,           0.0066571,           0.0066571,            0.040082
                   2,            0.069528,            0.022861,            0.015647,             0.66877,             0.17972,             0.12325,            0.034134,            0.065582,            0.013375,            0.014641,           0.0099886,           0.0099886,             0.01008
                   3,            0.063997,            0.021969,            0.012396,             0.75842,             0.22671,             0.22362,            0.079433,            0.061884,            0.012616,            0.010876,            0.009995,            0.009995,            0.009995
                   4,            0.059689,            0.021384,            0.010301,             0.77074,             0.24718,             0.22922,            0.084816,            0.057108,             0.01266,            0.011591,            0.009995,            0.009995,            0.009995
                   5,            0.057445,            0.021118,            0.009469,             0.82463,             0.27376,             0.29188,             0.12173,            0.055239,            0.010923,           0.0085681,           0.0099911,           0.0099911,           0.0099911
                   6,            0.055751,            0.020549,           0.0091455,             0.83854,             0.27735,             0.29622,              0.1269,            0.053044,            0.011028,           0.0089307,           0.0099861,           0.0099861,           0.0099861
                   7,            0.054395,            0.020539,           0.0082122,             0.84276,             0.25515,             0.28674,             0.11215,            0.053863,            0.010815,           0.0094358,             0.00998,             0.00998,             0.00998
                   8,            0.053126,            0.019922,           0.0076804,             0.82147,             0.28769,             0.31689,              0.1371,            0.052738,            0.010747,           0.0074693,           0.0099728,           0.0099728,           0.0099728
                   9,            0.052531,            0.019729,           0.0073664,             0.86457,             0.31163,             0.35403,             0.16846,            0.051049,            0.010297,           0.0072098,           0.0099645,           0.0099645,           0.0099645
                  10,            0.051437,            0.019694,           0.0071604,             0.85594,             0.29237,              0.3556,             0.16931,            0.050464,            0.010772,           0.0084267,           0.0099551,           0.0099551,           0.0099551
                  11,            0.050522,            0.019514,           0.0068227,             0.82549,             0.32874,             0.37373,             0.18512,            0.050938,            0.010445,           0.0083166,           0.0099446,           0.0099446,           0.0099446
                  12,            0.050394,            0.019578,           0.0068074,             0.73415,             0.35493,              0.3663,             0.16836,            0.049331,            0.010171,           0.0079075,            0.009933,            0.009933,            0.009933
                  13,            0.049556,            0.019279,           0.0062665,              0.7803,             0.32315,             0.39078,             0.18793,            0.048198,            0.010417,           0.0075162,           0.0099203,           0.0099203,           0.0099203
                  14,            0.049787,            0.019476,           0.0063531,             0.80752,             0.35301,              0.3999,             0.19082,            0.047951,            0.010161,           0.0066187,           0.0099065,           0.0099065,           0.0099065
                  15,            0.048705,            0.018724,           0.0062711,             0.81967,             0.38354,             0.42096,              0.2126,            0.046502,           0.0096773,           0.0057614,           0.0098916,           0.0098916,           0.0098916
                  16,            0.048669,            0.018718,           0.0060471,             0.90006,             0.32941,             0.41804,             0.20774,             0.04683,           0.0097743,           0.0072682,           0.0098757,           0.0098757,           0.0098757
                  17,            0.048215,            0.018768,            0.006076,             0.83458,             0.36535,             0.47187,             0.23334,             0.04586,           0.0095811,           0.0059148,           0.0098586,           0.0098586,           0.0098586
                  18,            0.047993,            0.018672,           0.0058944,              0.7762,             0.39354,             0.45141,              0.2197,            0.045952,           0.0096033,           0.0066731,           0.0098405,           0.0098405,           0.0098405
                  19,            0.047796,            0.018467,           0.0053965,             0.88806,             0.35606,             0.46897,             0.24035,            0.045708,           0.0094489,           0.0055654,           0.0098213,           0.0098213,           0.0098213
                  20,            0.047553,            0.018832,           0.0052818,             0.73488,             0.40672,             0.45044,             0.22507,             0.04612,           0.0095084,           0.0058236,           0.0098011,           0.0098011,           0.0098011
                  21,            0.047295,            0.018459,           0.0055415,              0.7863,             0.38408,             0.46343,             0.23991,            0.045443,            0.009464,           0.0054371,           0.0097798,           0.0097798,           0.0097798
                  22,            0.046799,            0.018375,           0.0052149,             0.88013,             0.39248,             0.49435,             0.26482,            0.044587,           0.0093761,           0.0057486,           0.0097574,           0.0097574,           0.0097574
                  23,            0.046373,            0.018648,           0.0048947,             0.82792,             0.38227,             0.47151,             0.23864,            0.044846,           0.0094033,           0.0054622,            0.009734,            0.009734,            0.009734
                  24,            0.045884,            0.018164,            0.004846,             0.85661,             0.36467,             0.51224,             0.26611,            0.044528,           0.0094641,           0.0061665,           0.0097095,           0.0097095,           0.0097095
                  25,            0.046208,            0.018211,           0.0048937,             0.69378,              0.3888,             0.49177,             0.26068,            0.044045,           0.0091634,           0.0055004,            0.009684,            0.009684,            0.009684
                  26,            0.045554,            0.018185,           0.0049553,              0.7016,             0.42421,             0.51256,             0.26953,            0.043707,           0.0093302,           0.0051358,           0.0096575,           0.0096575,           0.0096575
                  27,            0.045439,            0.018114,           0.0048168,             0.88928,             0.36094,             0.50324,             0.24344,            0.044858,           0.0091055,           0.0056061,           0.0096299,           0.0096299,           0.0096299
                  28,            0.045504,            0.018044,           0.0046319,             0.72256,             0.41152,             0.51417,             0.27534,            0.043517,           0.0091383,           0.0054667,           0.0096013,           0.0096013,           0.0096013
                  29,            0.044999,            0.018039,           0.0047241,             0.85935,             0.37779,              0.4876,             0.25068,             0.04349,           0.0093133,           0.0054379,           0.0095717,           0.0095717,           0.0095717
                  30,            0.045197,            0.018105,           0.0045004,             0.65091,             0.41422,             0.51869,             0.26625,            0.043845,           0.0093187,           0.0051455,           0.0095411,           0.0095411,           0.0095411
                  31,            0.044388,            0.018072,           0.0046221,             0.64798,             0.45944,             0.52594,             0.27163,            0.043311,           0.0090591,           0.0057386,           0.0095095,           0.0095095,           0.0095095
                  32,            0.045051,            0.018068,           0.0042797,             0.73602,             0.44044,             0.52656,             0.28846,            0.042826,            0.008925,           0.0044813,           0.0094769,           0.0094769,           0.0094769
                  33,            0.044484,            0.017615,           0.0041726,             0.69021,             0.47335,             0.56033,             0.30153,            0.042792,           0.0089639,           0.0049344,           0.0094434,           0.0094434,           0.0094434
                  34,            0.044219,            0.017717,           0.0042689,             0.74329,             0.44304,             0.51246,             0.26855,            0.043074,           0.0090209,           0.0050497,           0.0094088,           0.0094088,           0.0094088
                  35,            0.043837,            0.017388,           0.0044376,             0.74321,             0.42286,                0.52,             0.28571,            0.042333,           0.0089166,           0.0043373,           0.0093733,           0.0093733,           0.0093733
                  36,            0.044246,            0.017931,           0.0043502,             0.69503,             0.45652,              0.5396,             0.28526,            0.043236,            0.008916,           0.0045758,           0.0093369,           0.0093369,           0.0093369
                  37,            0.043759,            0.017706,           0.0042187,             0.73104,             0.45386,             0.53742,             0.27989,            0.042542,           0.0088715,           0.0042779,           0.0092995,           0.0092995,           0.0092995
                  38,            0.043443,            0.017411,           0.0037949,             0.73764,             0.47814,             0.56832,             0.31215,            0.042045,           0.0088474,           0.0046418,           0.0092611,           0.0092611,           0.0092611
                  39,            0.043531,            0.017601,           0.0039877,             0.79634,             0.44623,             0.54561,             0.29889,            0.042258,            0.008876,           0.0043316,           0.0092219,           0.0092219,           0.0092219
                  40,            0.043298,            0.017234,           0.0037523,             0.72416,             0.47498,             0.56194,             0.30809,            0.042107,           0.0087117,           0.0044589,           0.0091817,           0.0091817,           0.0091817
                  41,             0.04289,            0.017664,           0.0040952,              0.8813,             0.44753,             0.55965,             0.29835,             0.04233,           0.0087904,           0.0041901,           0.0091406,           0.0091406,           0.0091406
                  42,            0.043193,            0.017477,           0.0039385,             0.69754,             0.48745,             0.59065,             0.32466,            0.041607,           0.0088759,           0.0044664,           0.0090986,           0.0090986,           0.0090986
                  43,            0.043026,            0.017364,           0.0037696,             0.65953,             0.50233,             0.53803,             0.29267,            0.041522,            0.008682,           0.0039343,           0.0090557,           0.0090557,           0.0090557
